name,rating_score,address,years_in_business,categories,phone_number
Jovani Dental Clinic,4.5,"Rajaji Nagar Main Road Thiruvanmiyur, Chennai",28 Years in Healthcare,Dentists,09054803340
Luxe Dental Clinic,4.9,"Periyar Nagar Velacheri, Chennai",10 Years in Healthcare,Dental Clinics,08460508552
Srivi Dental Care,5.0,"LB Road Adyar, Chennai",1 Year in Healthcare,,09740169351
Jerush Dentofacial & Cosmetic Laser Centre,4.6,"Mahatma Gandhi Road Sasthri Nagar Adyar, Chennai",7 Years in Healthcare,,08460281805
Dr. Barun\'s Dental Centre VELACHERY,4.9,"7th Main Road Velacheri, Chennai",19 Years in Healthcare,Dentists,08460279300
Just Dent Aesthetics,4.9,"Shanmuganar Salai Choolaimedu, Chennai",4 Years in Healthcare,,08401126063
Dr. Akash (Sriram Multispeciality Dental Care),3.5,"TVS Colony Anna Nagar West, Chennai",12 Years in Healthcare,,08460259400
Swarna Dental Studio,4.8,"Jaga Nagar Pallikaranai, Chennai",10 Years in Healthcare,,08147213204
Shana\'s Dental Care,4.7,"Rajaram Mehta Nagar Aminjikarai, Chennai",1 Year in Healthcare,,07041864904
Adhvik Dental Clinic,4.8,"TNHB Colony Velacheri, Chennai",5 Years in Healthcare,,07405619670
MS Multispeciality Dental Clinic,4.9,"Nukampalayam Road Perumbakkam, Chennai",12 Years in Healthcare,Dentists,08197415184
Dr. Nive\'s Dental Clinic,4.9,"Velachery Main Road Pallikaranai, Chennai",3 Years in Healthcare,Dental Clinics,09054465768
Dr. Lavanyas Dental Clinic,4.8,"Bazaar Road Sadhasiva Nagar Madipakkam, Chennai",16 Years in Healthcare,Dentists,09740201236
Smile Experts,4.4,"Vgp Srinivasa Nagar Madambakkam Main Road Rajakilpakkam, Chennai",11 Years in Healthcare,Dentists,08197153856
Aarthi Priyas Tooth Care Clinic,4.7,"Paramount Park ( 1st Floor) Velacheri, Chennai",21 Years in Healthcare,Tooth Care Clinic,08971516391
Dr Priya\'s Dentistry ECR,5.0,"East Coast Road Vettuvankeni, Chennai",1 Year in Healthcare,Dentistry,08734963710
Marina Dental Clinic,4.7,"Voc Street Velacheri, Chennai",9 Years in Healthcare,Dental Clinic,07411713642
Roots N Crowns Dental Care,5.0,"T S Krishna Nagar Mogappair, Chennai",,Dental Care,09972442079
ANN Hospital,4.1,"Annai Therasa Street Valasaravakkam, Chennai",,Hospital,
Dr. Jamin Joseph (Joseph Dental),4.9,"Valapathi Salai Mogappair East, Chennai",11 Years in Healthcare,Dental,09724848892
Zaara Dentistry,4.9,"BAZAR ROAD Kundrathur, Chennai",,Dentists,07048439759
SP Dental Care,5.0,"Valluvan Street Choolai, Chennai",11 Years in Healthcare,Dentists,07411718195
Dr Baruns Multispeciality Dental Centre Ecr,4.8,"ECR Injambakkam, Chennai",19 Years in Healthcare,Dentists,09980769160
Classic Dental Lab,3.0,"Alandur-St Thomas Mount, Chennai",6 Years in Healthcare,Dentists,07383162599
Peach Dental Clinic,5.0,"Sakthi Nagar Main Road Porur, Chennai",5 Years in Healthcare,Dentists,07048796294
Mexo Dental Care,4.7,"Bheema Sena Garden Mylapore, Chennai",1 Year in Healthcare,Dentists,08904607822
